<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.04.26 00:00:00 1.36371 1.36428 1.36327 1.36327 205 0 62
2022.04.26 00:30:00 1.36342 1.36414 1.36340 1.36409 577 0 49
2022.04.26 01:00:00 1.36409 1.36502 1.36381 1.36493 947 0 16
2022.04.26 01:30:00 1.36494 1.36501 1.36382 1.36404 751 0 15
2022.04.26 02:00:00 1.36402 1.36445 1.36361 1.36402 816 0 8
2022.04.26 02:30:00 1.36400 1.36465 1.36390 1.36458 802 0 9
2022.04.26 03:00:00 1.36458 1.36587 1.36450 1.36583 2224 0 6
2022.04.26 03:30:00 1.36583 1.36628 1.36544 1.36604 2215 0 7
2022.04.26 04:00:00 1.36603 1.36640 1.36545 1.36611 2040 0 5
2022.04.26 04:30:00 1.36611 1.36638 1.36542 1.36549 1634 0 6
2022.04.26 05:00:00 1.36549 1.36583 1.36504 1.36537 1488 0 7
2022.04.26 05:30:00 1.36537 1.36546 1.36445 1.36445 1451 0 9
2022.04.26 06:00:00 1.36445 1.36461 1.36381 1.36411 2169 0 8
2022.04.26 06:30:00 1.36416 1.36429 1.36187 1.36187 1428 0 10
2022.04.26 07:00:00 1.36188 1.36209 1.36103 1.36114 1739 0 6
2022.04.26 07:30:00 1.36114 1.36136 1.36094 1.36110 1279 0 4
2022.04.26 08:00:00 1.36110 1.36140 1.36093 1.36116 778 0 3
2022.04.26 08:30:00 1.36116 1.36238 1.36115 1.36219 1140 0 1
2022.04.26 09:00:00 1.36221 1.36265 1.36080 1.36116 3180 0 6
2022.04.26 09:30:00 1.36116 1.36185 1.36083 1.36120 2808 0 3
2022.04.26 10:00:00 1.36120 1.36309 1.36086 1.36187 4694 0 2
2022.04.26 10:30:00 1.36187 1.36239 1.36047 1.36069 3360 0 1
2022.04.26 11:00:00 1.36069 1.36190 1.36005 1.36136 3316 0 3
2022.04.26 11:30:00 1.36137 1.36187 1.36016 1.36030 3006 0 0
2022.04.26 12:00:00 1.36033 1.36294 1.36032 1.36290 2706 0 3
2022.04.26 12:30:00 1.36290 1.36299 1.36095 1.36124 2154 0 0
2022.04.26 13:00:00 1.36124 1.36220 1.36069 1.36216 2572 0 4
2022.04.26 13:30:00 1.36215 1.36222 1.36131 1.36154 2089 0 4
2022.04.26 14:00:00 1.36154 1.36251 1.36111 1.36188 2022 0 0
2022.04.26 14:30:00 1.36188 1.36276 1.36055 1.36059 2582 0 3
2022.04.26 15:00:00 1.36059 1.36192 1.36057 1.36189 2736 0 0
2022.04.26 15:30:00 1.36188 1.36500 1.36168 1.36440 3663 0 0
2022.04.26 16:00:00 1.36449 1.36707 1.36383 1.36691 4115 0 0
2022.04.26 16:30:00 1.36690 1.36843 1.36565 1.36764 3997 0 0
2022.04.26 17:00:00 1.36768 1.36874 1.36689 1.36775 4045 0 0
2022.04.26 17:30:00 1.36775 1.36871 1.36296 1.36440 5969 0 2
2022.04.26 18:00:00 1.36439 1.36578 1.36288 1.36461 4403 0 1
2022.04.26 18:30:00 1.36461 1.36475 1.36340 1.36419 3426 0 2
2022.04.26 19:00:00 1.36420 1.36477 1.36334 1.36385 2640 0 1
2022.04.26 19:30:00 1.36386 1.36397 1.36275 1.36275 2397 0 0
2022.04.26 20:00:00 1.36275 1.36361 1.36273 1.36338 1792 0 1
2022.04.26 20:30:00 1.36338 1.36355 1.36253 1.36258 1474 0 0
2022.04.26 21:00:00 1.36259 1.36299 1.36207 1.36281 1643 0 6
2022.04.26 21:30:00 1.36280 1.36291 1.36198 1.36249 2007 0 1
2022.04.26 22:00:00 1.36253 1.36367 1.36241 1.36334 2211 0 0
2022.04.26 22:30:00 1.36335 1.36390 1.36306 1.36385 2384 0 3
2022.04.26 23:00:00 1.36384 1.36426 1.36310 1.36422 1900 0 6
2022.04.26 23:30:00 1.36422 1.36443 1.36388 1.36427 1047 0 9
2022.04.27 00:00:00 1.36427 1.36455 1.36337 1.36397 417 0 33
2022.04.27 00:30:00 1.36410 1.36417 1.36385 1.36405 237 0 55
2022.04.27 01:00:00 1.36405 1.36429 1.36322 1.36324 1666 0 19
2022.04.27 01:30:00 1.36324 1.36392 1.36324 1.36351 1109 0 17
2022.04.27 02:00:00 1.36358 1.36401 1.36348 1.36398 1194 0 6
